,string,count,group
4715,Zoofest Festival,1,zoofest festival
4716,National Steel Car Limited,1,national steel car
4717,Goderich Aircraft Inc.,1,goderich aircraft inc.
4718,NALCOR,1,nalcor
4719,i-MobileCa Inc,1,i-mobileca inc
4720,Ameropa,1,ameropa
4721,Association de l'industrie électrique du Québec,1,association de l'industrie electrique du quebec
4722,Edmonton Valley Zoo Development Society,1,edmonton valley zoo development society
4723,Jake's House for Children with Autism,1,jake's house for children with autism
4724,St. Joseph Health Centre (SJHC),1,st. joseph health centre (sjhc)
4725,Canadian Federation of Biological Societies,1,canadian federation of biological societies
4726,BL Trades,1,bl trades
4727,The Association for Opera in Canda,1,the association for opera in canda
4728,KONGSBERG DEFENCE SYSTEMS,1,kongsberg defence systems
4729,Molson Coors,1,molson coors
4730,MAGELLAN AEROSPACE INC,1,magellan aerospace corporation
4731,AMAZEMENT PARKS CANADA INC.,1,amazement parks canada inc.
4732,Just For Laughs Toronto Festival,1,just for laughs festival
4733,Concrete Ontario,1,concrete ontario
4734,JANES FAMILY FOODS LTD.,1,janes family foods ltd.
4735,Treaty 4 Education Alliance,1,treaty 4 education alliance
4736,SN Biomedical Inc.,1,sn biomedical inc.
4737,Canadian Nurses Association (CNA),1,canadian nurses association (cna)
4738,Canadian Carbonization Research Association,1,canadian carbonization research association
4739,Saskatchewan Place Association Inc. (DBA SaskTel Centre),1,saskatchewan place association inc. (dba sasktel centre)
4740,OFFSHORE SYSTEMS INTERNATIONAL LTD.,1,offshore systems international ltd.
4741,Canadian Artists’ Representation,1,canadian artists' representation
4742,DoorDash,1,doordash
4743,Plan International Canada,1,plan canada
4744,Berkshire Hathaway Energy Canada,1,berkshire hathaway energy canada
4745,EPIC Oil Extractors LLC,1,epic oil extractors llc
4746,Praxair Canada Inc,1,praxair canada inc
4747,Philanthropic Foundations Canada,1,philanthropic foundations canada
4748,Chiputneticook Lakes International Conservancy,1,chiputneticook lakes international conservancy
4749,BP Canada Limited,1,bp canada
4750,Direct Leap Technologies,1,direct leap technologies
4751,"Tishman Speyer Properties, L.P.",1,"tishman speyer properties, l.p."
4752,Linde Canada Limited,1,linde
4753,Nunavut Water Board,1,nunavut water board
4754,Cantos Music Foundation,1,cantos music foundation
4755,Redfern Resources Ltd.,1,redfern resources ltd.
4756,Canadian Independent Telephone Company Joint Task Force,1,canadian independent telephone company joint task force
4757,Trio Capital,1,trio capital
4758,Whitefish Lake First Nation,1,whitefish lake first nation
4759,Shaw Industries Inc.,1,shaw industries inc.
4760,Genworth Financial Mortgage Insurance Company of Canada,1,genworth financial (canada)
4761,Saddle Lake Cree Nation,1,saddle lake cree nation
4762,Canadian Federation of agriculture,1,canadian federation of agriculture
4763,McMaster Institute for Surgical Intervention and Education,1,mcmaster institute for surgical intervention and education
4764,WEllfunded,1,wellfunded
4765,BlockLAB,1,blocklab
4766,"Sobi Canada, Inc.",1,sobi canada inc.
4767,Canadian Thoracic Society,1,canadian thoracic society
4768,Acadia Drywall Supplies Ltd. (cob as Cabot Gypsum Company),1,acadia drywall supplies ltd. (cob as cabot gypsum company)
4769,Newspapers Canada,1,newspapers canada
4770,National Network for Mental Health,1,national network for mental health
4771,IPEX Inc.,1,ipex inc.
4772,DAMAC PROPERTIES CO. LLC,1,damac properties co. llc
4773,Vancouver Foresight Society,1,vancouver foresight society
4774,Medsup Canada,1,medsup canada
4775,Kloak Information Technologies Inc,1,kloak information technologies inc
4776,Samuel Associates Inc.,1,samuel associates inc.
4777,Canadian Hospital Specialties Ltd,1,canadian hospital specialties limited
4778,Unison,1,unison
4779,Electronic Arts,1,electronic arts
4780,Hollander Sleep Products Canada Ltd,1,hollander sleep products canada ltd
4781,TeraMach Technologies Inc,1,teramach technologies inc
4782,Microsoft Canada Inc,1,microsoft corporation
4783,Canadian Virtual Hospice,1,canadian virtual hospice
4784,Building TO Inc.,1,building to inc.
4785,Optosecurity,1,optosecurity
4786,Shaw Communication Inc.,1,shaw communication inc.
4787,Research in Motion Ltd.,1,research in motion limited
4788,Nerds On Line,1,nerds on line
4789,Conseil des Atikamekw de Manawan,1,conseil des atikamekw de manawan
4790,Oberon Research Corp,1,oberon research corp
4791,Glencore Canada,1,glencore canada
4792,DAIRY PROCESSORS ASSOCIATION OF CANADA,1,dairy processors association of canada
4793,SIKORSKY CANADA INC.,1,sikorsky aircraft corporation
4794,Leafly Canada,1,leafly
4795,Peace River Regional District,1,peace river regional district
4796,Taipei Economic and Cultural Office in Canada,1,taipei economic and cultural office in canada
4797,Dalton Associates,1,dalton associates
4798,Canadian Association of PPE Manufacturers (CAPPEM),1,canadian association of ppe manufacturers (cappem)
4799,Royal Airport Services (pvt.) Ltd.,1,royal airport services (pvt.) ltd.
4800,Titus Infrastructure,1,titus infrastructure
4801,National Bank Financial Inc.,1,national bank financial inc.
4802,Canadian Antimicrobial Innovation Coalition,1,canadian antimicrobial innovation coalition
4803,"Variation Biotechnologies, Inc.",1,"variation biotechnologies, inc."
4804,Invest Ottawa,1,invest ottawa
4805,ESSAR Steel Algoma Inc,1,essar steel algoma inc
4806,Veteran Canine Connection,1,veteran canine connection
4807,F5 Networks,1,f5 networks
4808,REEF Resources Ltd,1,reef resources ltd
4809,Genworth Financial Mortgage Insurance Company Canada,1,genworth financial (canada)
4810,Housing Services Corporation,1,housing services corporation
4811,Michael Bernadin a/o Symbionature Inc.,1,michael bernadin a/o symbionature inc.
4812,DJI Technology Inc.,1,dji technology inc
4813,Fijitsu Consulting Canada Inc.,1,fijitsu consulting canada inc.
4814,Canadian Foundation on Fetal Alcohol Research,1,canadian foundation on fetal alcohol research
4815,Save Your Skin Foundation,1,save your skin foundation
4816,PCAS Patient Care Automation Services,1,pcas patient care automation services
4817,TSX Inc.,1,tsx inc.
4818,Calgary Olympic Development Association,1,calgary olympic development association
4819,Union of Canadian Transportation Employees,1,union of canadian transportation employees
4820,Secular Connexion Séculière,1,secular connexion seculiere
4821,Le Saint-Grégoire Holding Inc.,1,le saint-gregoire holding inc.
4822,Canadian Off-Highway Vehicle Distributors Council,1,canadian off-highway vehicle distributors council
4823,Medline Industries Inc.,1,medline industries inc.
4824,Medtronic Public Limited Company,1,medtronic public limited company
4825,Ivey Foundation,1,ivey foundation
4826,Wabi Iron and Steel Corp.,1,wabi iron and steel corp.
4827,Pacific Coast Shipbuilders Association,1,pacific coast shipbuilders association
4828,Boardwalk Real Estate Investment Trust (REIT),1,boardwalk real estate investment trust (reit)
4829,Homestead Christian Care,1,homestead christian care
4830,Solvay Pharma Inc.,1,solvay pharma inc.
4831,"Alenia North America, Inc.",1,"alenia north america, inc."
4832,Medical Starpax Inc.,1,medical starpax inc.
4833,Riverland AG Corp,1,riverland ag corp
4834,Safer Skies (through Air Canada Pilots Association),1,safer skies (through air canada pilots association)
4835,Eavor Technologies Inc.,1,eavor technologies inc.
4836,CAE Professional Services,1,cae inc.
4837,Atlantic Gold,1,atlantic gold
4838,Vopak Canada,1,vopak canada
4839,Lawyers Without Borders,1,lawyers without borders
4840,Li Ka Shing Foundation Limited,1,li ka shing foundation limited
4841,iGate Technologies (Canada),1,igate technologies (canada)
4842,Cable Public Affairs Channel Inc,1,cable public affairs channel inc
4843,JEM 2018 Corporation,1,jem 2018 corporation
4844,Motion Picture Association – Canada,1,motion picture association - canada
4845,MediaSmarts,1,mediasmarts
4846,Grey Nuns of Montreal,1,grey nuns of montreal
4847,canadian seed growers association,1,canadian seed growers association
4848,Carlson Wagonlit Travel(A travers le Groupe parlementaire),1,carlson wagonlit travel
4849,MediPense Inc.,1,medipense inc.
4850,Canadian Dance Assembly,1,canadian dance assembly
4851,WeWork,1,wework
4852,U.S. Grains Council,1,u.s. grains council
4853,Terrapure Environmental,1,terrapure environmental
4854,Lake of the Woods Water Sustainability Foundation,1,lake of the woods water sustainability foundation
4855,Draeger Safety Canada Ltd,1,draeger safety canada ltd
4856,Port of Prescott,1,port of prescott
4857,Sparx Smart PODS Inc.,1,sparx smart pods inc.
4858,AP Fuels,1,ap fuels
4859,National Access Canada,1,national access canada
4860,Canadian Catholic School Trustees Association,1,canadian catholic school trustees association
4861,Canadian Diabetes Association,1,canadian diabetes association
4862,Maxim Power Corp.,1,maxim power corp.
4863,Cheam First Nations,1,cheam first nations
4864,Servier inc Canada,1,servier canada inc.
4865,Exceldor Cooperative,1,exceldor cooperative
4866,AZ Fresh Inc.,1,az fresh inc.
4867,Westside Regional Recreation Centre Society,1,westside regional recreation centre society
4868,FB Canada Express,1,fb canada express
4869,Westwind Aviation,1,westwind aviation
4870,Tenaris Global Services (Canada) Inc.,1,tenaris global services (canada) inc
4871,ESIT Canada Enterprise Services Co.,1,esit canada enterprise services co.
4872,The Army Cadet League of Canada,1,the army cadet league of canada
4873,BG Canada,1,bg canada
4874,Waterplay Group of Companies,1,waterplay group of companies
4875,Social and Enterprise Development Innovations,1,social and enterprise development innovations
4876,Canadian Committee for a Sustainable Eel Fishery Inc.,1,canadian committee for a sustainable eel fishery inc.
4877,CVeT Power Corp.,1,cvet power corp.
4878,Avante Security Corporation,1,avante security corporation
4879,DLS Technology Corporation,1,dls technology corporation
4880,Tides Canada Foundation,1,tides canada
4881,ChipMeds Inc.,1,chipmeds inc.
4882,Glencore Xstrata plc,1,glencore canada
4883,Rich Products of Canada Ltd.,1,rich products of canada ltd.
4884,Fort Chicago Energy Partners LP,1,fort chicago energy partners lp
4885,ATS Healthcare,1,ats healthcare
4886,CanSIA (Canadian Solar Industries Association),1,cansia (canadian solar industries association)
4887,Malmaison Advisers & Company,1,malmaison advisers & company
4888,Nordion Inc.,1,nordion
4889,adMare BioInnovations,1,admare bioinnovations
4890,Last Chance for Animals,1,last chance for animals
4891,Holding O.C.B. Inc,1,holding o.c.b. inc
4892,Greensaver,1,greensaver
4893,Zurich Insurance Company Ltd,1,zurich insurance company ltd
4894,Peinture GS et Placage GE,1,peinture gs et placage ge
4895,Community Radio Fund of Canada,1,community radio fund of canada
4896,Cambli Group Inc.,1,cambli group inc.
4897,National Electricity Round Table,1,national electricity round table
4898,Cambrian College of Applied Arts & Technology,1,cambrian college of applied arts & technology
4899,Teal Jones Group,1,teal jones group
4900,RED BULL CANADA LTD.,1,red bull canada ltd.
4901,CRÉATIONS YUL INC.,1,creations yul inc.
4902,The Millar Group,1,millar group
4903,Canadian Jewish Museum,1,canadian jewish museum
4904,Sony Pictures Home Entertainment Canada Ltd,1,sony pictures imageworks canada inc.
4905,Valt.X Technologies Inc.,1,valt.x technologies inc.
4906,Marriott Hotels of Canada,1,marriott hotels of canada
4907,OmniSpace LLC,1,omnispace llc
4908,Rugby Canada,1,rugby canada
4909,ARLANXEO Canada Inc.,1,arlanxeo canada inc.
4910,Garden River First Nation,1,garden river first nation
4911,The Canadian Payroll Association,1,the canadian payroll association
4912,Animal Justice,1,animal justice
4913,Macdonald Dettwiler and Associates Ltd,1,macdonald dettwiler and associates ltd
4914,College of Registered Nurses of B.C. (CNRBC),1,college of registered nurses of b.c. (cnrbc)
4915,Designfusion,1,designfusion
4916,International Languages Academy of Canada,1,international languages academy of canada
4917,Suntrition Inc.,1,suntrition inc.
4918,Jamaican Medical Cannabis Corporation,1,jamaican medical cannabis corporation
4919,Stoney Nakoda Nations,1,stoney nakoda nations
4920,WCS Wildlife Conservation Society Canada,1,wcs wildlife conservation society canada
4921,Columbia House Canada,1,columbia house canada
4922,Merry Montreal,1,merry montreal
4923,Association of Canadian Disability Benefit Professionals,1,association of canadian disability benefit professionals
4924,G-15 University Presidents,1,g-15 university presidents
4925,TerreStar Solutions Inc,1,terrestar solutions inc
4926,Max Aicher (North America) Ltd,1,max aicher (north america) ltd
4927,Rotary International,1,rotary international
4928,International Council of Shopping Centers,1,international council of shopping centers
4929,Pfizer Canada Inc.,1,pfizer canada inc.
4930,Deloitte Canada,1,deloitte canada
4931,SonoAsh Engineered Materials Ltd.,1,sonoash engineered materials ltd.
4932,World Expo Canada Bid Corporation,1,world expo canada bid corporation
4933,Berg Chilling Systems Inc.,1,berg chilling systems inc.
4934,Mishkeegogamang Ojibway Nation,1,mishkeegogamang ojibway nation
4935,Scandinavian Tobacco Group Canada,1,scandinavian tobacco group canada
4936,Unilever Canada,1,unilever canada
4937,Broadcast Participation Fund,1,broadcast participation fund
4938,North West Company Inc.,1,north west company inc.
4939,"Alcon Media Group, LLC",1,"alcon media group, llc"
4940,Deutsche Bank AG,1,deutsche bank ag
4941,Westbank First Nation,1,westbank
4942,Microsoft Corporation,1,microsoft corporation
4943,Quebec's Federation of Chambers of Commerce,1,quebec's federation of chambers of commerce
4944,Richard Ivey School of Business,1,richard ivey school of business
4945,CH2M Hill Canada,1,ch2m hill canada
4946,Neo Materials Technologies Inc.,1,neo materials technologies inc.
4947,OneWeb,1,oneweb
4948,Euler Hermes Canada,1,euler hermes canada
4949,Clermark Inc.,1,clermark inc.
4950,Finning International Inc.,1,finning international inc.
4951,Parrish and Heimbecker Ltd.,1,parrish and heimbecker ltd.
4952,Orville Walsh,1,orville walsh
4953,Sunco Foods Inc.,1,sunco foods inc
4954,Finlandia Club of Port Arthur,1,finlandia club of port arthur
4955,Inter Pipeline Fund,1,inter pipeline
4956,*,1,*
4957,Aurora Energy Resources Inc.,1,aurora energy resources inc.
4958,Liebert Canada,1,liebert canada
4959,Marketing Research and Intelligence Association (MRIA),1,marketing research and intelligence association
